date,title,label,link
2024-01-09,01_welcome_welcome_welcome,LECT,https://s3.us-west-2.amazonaws.com/ucsd.dsc100/lectures/01_welcome_welcome_welcome.pdf
2024-01-09,01_up_and_running_sqlite,DEMO,https://s3.us-west-2.amazonaws.com/ucsd.dsc100/demos/01_up_and_running_sqlite.pdf
2024-01-11,02_relational_data_model,LECT,https://s3.us-west-2.amazonaws.com/ucsd.dsc100/lectures/02_relational_data_model.pdf
2024-01-11,02_relational_data_model,DEMO,https://s3.us-west-2.amazonaws.com/ucsd.dsc100/demos/02_relational_data_model.pdf
2024-01-12,Discussion,DISC,
2024-01-16,03_sql_basics,LECT,https://s3.us-west-2.amazonaws.com/ucsd.dsc100/lectures/03_sql_basics.pdf
2024-01-16,03_sql_basics,DEMO,https://s3.us-west-2.amazonaws.com/ucsd.dsc100/demos/03_sql_basics.pdf
2024-01-18,04_join_me_for_joins,LECT,https://s3.us-west-2.amazonaws.com/ucsd.dsc100/lectures/04_join_me_for_joins.pdf
2024-01-18,04_simple_joins,DEMO,
2024-01-19,Discussion,DISC,
2024-01-22,Homework 1 is Due,HMWK,
2024-01-23,Quiz 1 is Due,QUIZ,
2024-01-23,05_join_me_for_joins_2,LECT,
2024-01-23,05_advanced_joins,DEMO,
2024-01-25,06_aggregation_and_grouping,LECT,
2024-01-25,06_aggregation_and_grouping,DEMO,
2024-01-26,Discussion,DISC,
2024-01-30,Quiz 2 is Due,QUIZ,
2024-01-30,07_advanced_sql_queries,LECT,
2024-01-30,07_subqueries_nested_queries,DEMO,
2024-02-01,08_advanced_sql_queries,LECT,
2024-02-01,08_advanced_sql_queries,DEMO,
2024-02-01,Homework 2 is Due,HMWK,
2024-02-02,Discussion,DISC,
2024-02-06,Quiz 3 is Due,QUIZ,
2024-02-06,09_set_operation,LECT,
2024-02-06,09_sql_vs_dataframes_set_ops,DEMO,
2024-02-08,10_formal_relational_query_languages,LECT,
2024-02-08,10_writing_ra,DEMO,
2024-02-09,Discussion,DISC,
2024-02-12,Homework 3 is Due,HMWK,
2024-02-13,11_formal_relational_query_languages_2,LECT,
2024-02-13,11_queries_to_ra,DEMO,
2024-02-15,Midterm,EXAM,
2024-02-16,Discussion,DISC,
2024-02-20,Quiz 4 is Due,QUIZ,
2024-02-20,12_interactive_data_analysis,LECT,
2024-02-20,12_analysis_with_sql,DEMO,
2024-02-22,13_data_storage_query_analysis,LECT,
2024-02-22,13_query_optimization_explain_analyze,DEMO,
2024-02-23,Discussion,DISC,
2024-02-26,Homework 4 is Due,HMWK,
2024-02-27,14_index_and_b_trees,LECT,
2024-02-27,14_indexes_and_b_trees,DEMO,
2024-02-29,Quiz 5 is Due,QUIZ,
2024-02-29,15_conceptual_design,LECT,
2024-02-29,15_conceptual_design,DEMO,
2024-03-01,Discussion,DISC,
2024-03-05,16_design_theory,LECT,
2024-03-05,16_closure_algorithm,DEMO,
2024-03-07,17_normal_forms (blackboard only),LECT,
2024-03-07,17_normal_forms,DEMO,
2024-03-08,Discussion,DISC,
2024-03-11,Homework 5 is Due,HMWK,
2024-03-12,18_final_review (blackboard only),REVW,
2024-03-14,Quiz 6 is Due,QUIZ,
2024-03-14,19_data_quality_warehousing_graphdb (blackboard only),LECT,
2024-03-15,Discussion,DISC,
